Player Name,Team Initials,Appearances,Goals,Cards,Tournaments,Attack_Contribution,Goals_Score,Appearances_Score,Attack_Score,Experience_Score,Discipline_Score,Cluster
ALDEAYEA,KSA,6,0,0,2,0.0,0.0,18.51851851851852,0.0,25.0,100.0,1.0
ALDERWEIRELD,BEL,5,0,3,1,0.0,0.0,14.814814814814811,0.0,0.0,62.5,2.0
ALEMAO,BRA,9,0,0,2,0.0,0.0,29.629629629629623,0.0,25.0,100.0,1.0
ALENICHEV,RUS,3,0,2,1,0.0,0.0,7.4074074074074066,0.0,0.0,75.0,2.0
ALEX,JPN,7,0,1,2,0.0,0.0,22.22222222222222,0.0,25.0,87.5,1.0
ALEXANDERSSON,SWE,8,1,2,2,0.125,5.88235294117647,25.925925925925924,3.125,25.0,75.0,1.0
ALEXANDRE BAPTISTA,POR,6,0,0,1,0.0,0.0,18.51851851851852,0.0,0.0,100.0,0.0
ALEXIS,CHI,4,3,0,1,0.75,17.647058823529413,11.11111111111111,18.75,0.0,100.0,0.0
ALFARO W.,CRC,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ALFONSO,ESP,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ALFREDO,BRA,7,0,0,1,0.0,0.0,22.22222222222222,0.0,0.0,100.0,0.0
ALFREDO II,BRA,6,1,0,1,0.1666666666666666,5.88235294117647,18.51851851851852,4.166666666666666,0.0,100.0,0.0
ALFREDO RAMOS,BRA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ALHASSAN,GHA,4,0,1,1,0.0,0.0,11.11111111111111,0.0,0.0,87.5,2.0
ALI JAMAL,IRQ,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ALIOUMBOUKAR,CMR,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ALIREZA,IRN,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ALJABER,KSA,6,1,1,2,0.1666666666666666,5.88235294117647,18.51851851851852,4.166666666666666,25.0,87.5,1.0
ALJAHANI,KSA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ALKHATHRAN,KSA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ALKORTA M.,ESP,12,0,0,3,0.0,0.0,40.74074074074074,0.0,50.0,100.0,3.0
ALLBACK,SWE,4,0,1,1,0.0,0.0,11.11111111111111,0.0,0.0,87.5,2.0
ALLBCK,SWE,4,1,2,1,0.25,5.88235294117647,11.11111111111111,6.25,0.0,75.0,2.0
ALMEYDA,ARG,3,0,1,1,0.0,0.0,7.4074074074074066,0.0,0.0,87.5,2.0
ALMONTASHARI,KSA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ALNOUDJI,CMR,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ALOISI,AUS,4,1,1,1,0.25,5.88235294117647,11.11111111111111,6.25,0.0,87.5,2.0
ALONSO,ESP,14,1,2,3,0.0714285714285714,5.88235294117647,48.14814814814815,1.7857142857142856,50.0,75.0,3.0
ALOWAIRAN,KSA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ALPAY,TUR,7,0,3,1,0.0,0.0,22.22222222222222,0.0,0.0,62.5,2.0
ALSHAHRANI,KSA,2,0,0,1,0.0,0.0,3.7037037037037033,0.0,0.0,100.0,
ALSHALHOUB,KSA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ALSHLHOUB,KSA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ALTAIR,BRA,9,0,0,2,0.0,0.0,29.629629629629623,0.0,25.0,100.0,1.0
ALTHAGAFI,KSA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ALTIDORE,USA,8,0,1,2,0.0,0.0,25.925925925925924,0.0,25.0,87.5,1.0
ALVARENGA,PAR,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
ALVAREZ,ARG,7,0,0,1,0.0,0.0,22.22222222222222,0.0,0.0,100.0,0.0
ALVAREZ,ARG,7,0,0,1,0.0,0.0,22.22222222222222,0.0,0.0,100.0,0.0
ALVAREZ,HON,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ALVAREZ,HON,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ALVARO,POR,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ALVBGE,SWE,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
ALWAKED,KSA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
AMANCIO,ESP,3,1,0,1,0.3333333333333333,5.88235294117647,7.4074074074074066,8.333333333333332,0.0,100.0,0.0
AMARAL,BRA,7,0,0,1,0.0,0.0,22.22222222222222,0.0,0.0,100.0,0.0
AMARILDO,BRA,6,3,0,1,0.5,17.647058823529413,18.51851851851852,12.5,0.0,100.0,0.0
AMBROSE,NGA,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
AMDY FAYE,SEN,5,0,0,1,0.0,0.0,14.814814814814811,0.0,0.0,100.0,0.0
AMEEN,KSA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
AMELIA,ITA,7,0,0,1,0.0,0.0,22.22222222222222,0.0,0.0,100.0,0.0
AMEOBI,NGA,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
AMERICO,POR,6,0,0,1,0.0,0.0,18.51851851851852,0.0,0.0,100.0,0.0
AMIRHOSSEIN,IRN,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
AMOAH,GHA,9,0,0,2,0.0,0.0,29.629629629629623,0.0,25.0,100.0,1.0
AMOKACHI,NGA,4,2,0,1,0.5,11.76470588235294,11.11111111111111,12.5,0.0,100.0,0.0
AMOR,ESP,3,0,1,1,0.0,0.0,7.4074074074074066,0.0,0.0,87.5,2.0
AN Ik Soo,KOR,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
AN Se Bok,PRK,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
ANDERANIK T.,IRN,3,0,1,1,0.0,0.0,7.4074074074074066,0.0,0.0,87.5,2.0
ANDERSEN,DEN,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ANDERSON,BRA,7,0,0,1,0.0,0.0,22.22222222222222,0.0,0.0,100.0,0.0
ANDERSSON,SWE,8,0,0,2,0.0,0.0,25.925925925925924,0.0,25.0,100.0,1.0
ANDR MACANGA,ANG,3,0,5,1,0.0,0.0,7.4074074074074066,0.0,0.0,37.5,2.0
ANDRANIK,IRN,3,0,1,1,0.0,0.0,7.4074074074074066,0.0,0.0,87.5,2.0
ANDRE,POR,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ANDREWS,TRI,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ANDRINUA,ESP,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
ANDUJAR,ARG,12,0,0,2,0.0,0.0,40.74074074074074,0.0,25.0,100.0,1.0
ANELKA,FRA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ANGIBEAUD,CMR,3,0,1,1,0.0,0.0,7.4074074074074066,0.0,0.0,87.5,2.0
ANGOUA,CIV,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ANNAN,GHA,5,0,1,1,0.0,0.0,14.814814814814811,0.0,0.0,87.5,2.0
ANTONELIUS,SWE,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
